Steppingstone sampler:
        No Stones:                  100
        Start It:                   10010001
        It Per Stone:               1000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.975187	750	-1.467134	-1.467134
1	0.950747	750	-1.423732	-2.890866
2	0.926679	750	-1.399733	-4.290599
3	0.902980	750	-1.431567	-5.722166
4	0.879648	750	-1.447468	-7.169634
5	0.856682	750	-1.449280	-8.618914
6	0.834079	750	-1.404834	-10.023747
7	0.811838	750	-1.345077	-11.368825
8	0.789957	750	-1.344479	-12.713304
9	0.768433	750	-1.324814	-14.038118
10	0.747266	750	-1.332729	-15.370846
11	0.726452	750	-1.306030	-16.676876
12	0.705989	750	-1.228361	-17.905237
13	0.685877	750	-1.206099	-19.111336
14	0.666112	750	-1.236716	-20.348052
15	0.646693	750	-1.193596	-21.541648
16	0.627618	750	-1.177386	-22.719034
17	0.608884	750	-1.098639	-23.817672
18	0.590490	750	-1.070744	-24.888416
19	0.572433	750	-1.126029	-26.014445
20	0.554712	750	-1.074675	-27.089120
21	0.537324	750	-0.993183	-28.082304
22	0.520268	750	-0.990863	-29.073166
23	0.503540	750	-0.959868	-30.033034
24	0.487139	750	-0.921044	-30.954078
25	0.471063	750	-0.868971	-31.823049
26	0.455310	750	-0.884552	-32.707601
27	0.439877	750	-0.954853	-33.662454
28	0.424762	750	-0.907830	-34.570284
29	0.409963	750	-0.864098	-35.434382
30	0.395478	750	-0.864195	-36.298577
31	0.381305	750	-0.903701	-37.202279
32	0.367440	750	-0.830274	-38.032553
33	0.353883	750	-0.819099	-38.851652
34	0.340630	750	-0.806978	-39.658630
35	0.327680	750	-0.779564	-40.438194
36	0.315030	750	-0.761496	-41.199690
37	0.302677	750	-0.750396	-41.950085
38	0.290619	750	-0.769962	-42.720048
39	0.278855	750	-0.764300	-43.484348
40	0.267381	750	-0.762875	-44.247222
41	0.256195	750	-0.735418	-44.982640
42	0.245294	750	-0.705586	-45.688227
43	0.234677	750	-0.662514	-46.350741
44	0.224340	750	-0.628858	-46.979598
45	0.214281	750	-0.654654	-47.634252
46	0.204498	750	-0.633192	-48.267444
47	0.194988	750	-0.635474	-48.902918
48	0.185749	750	-0.829453	-49.732371
49	0.176777	750	-0.805999	-50.538370
50	0.168070	750	-0.794912	-51.333282
51	0.159626	750	-0.780081	-52.113363
52	0.151441	750	-0.733020	-52.846383
53	0.143514	750	-0.692011	-53.538394
54	0.135841	750	-0.679790	-54.218184
55	0.128420	750	-0.650631	-54.868815
56	0.121247	750	-0.629327	-55.498142
57	0.114320	750	-0.644911	-56.143054
58	0.107637	750	-0.579164	-56.722218
59	0.101193	750	-0.561449	-57.283667
60	0.094986	750	-0.550046	-57.833713
61	0.089014	750	-0.573389	-58.407102
62	0.083273	750	-0.674537	-59.081639
63	0.077760	750	-0.580973	-59.662612
64	0.072472	750	-0.572895	-60.235507
65	0.067406	750	-0.464797	-60.700304
66	0.062558	750	-0.431745	-61.132049
67	0.057926	750	-0.400856	-61.532904
68	0.053506	750	-0.390126	-61.923031
69	0.049295	750	-0.365008	-62.288039
70	0.045289	750	-0.344065	-62.632104
71	0.041485	750	-0.339286	-62.971390
72	0.037880	750	-0.326715	-63.298104
73	0.034469	750	-0.320330	-63.618435
74	0.031250	750	-0.295183	-63.913618
75	0.028218	750	-0.337608	-64.251226
76	0.025370	750	-0.337477	-64.588703
77	0.022702	750	-0.279316	-64.868019
78	0.020209	750	-0.278593	-65.146612
79	0.017889	750	-0.255553	-65.402165
80	0.015736	750	-0.213440	-65.615606
81	0.013746	750	-0.192297	-65.807903
82	0.011916	750	-0.172480	-65.980383
83	0.010240	750	-0.165178	-66.145561
84	0.008714	750	-0.142595	-66.288156
85	0.007334	750	-0.135339	-66.423495
86	0.006093	750	-0.150987	-66.574482
87	0.004988	750	-0.127394	-66.701876
88	0.004013	750	-0.087883	-66.789759
89	0.003162	750	-0.073822	-66.863582
90	0.002430	750	-0.063529	-66.927111
91	0.001810	750	-0.054696	-66.981807
92	0.001296	750	-0.047930	-67.029737
93	0.000882	750	-0.040722	-67.070460
94	0.000559	750	-0.033119	-67.103578
95	0.000320	750	-0.023846	-67.127425
96	0.000156	750	-0.016135	-67.143559
97	0.000057	750	-0.010008	-67.153568
98	0.000010	750	-0.004363	-67.157931
99	0.000000	750	-0.000943	-67.158874
Log marginal likelihood:	-67.158874
