Steppingstone sampler:
        No Stones:                  100
        Start It:                   10010001
        It Per Stone:               1000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.975187	750	-1.136163	-1.136163
1	0.950747	750	-1.112484	-2.248647
2	0.926679	750	-1.155819	-3.404466
3	0.902980	750	-1.089034	-4.493500
4	0.879648	750	-1.105128	-5.598629
5	0.856682	750	-1.125967	-6.724595
6	0.834079	750	-1.133402	-7.857998
7	0.811838	750	-1.107904	-8.965902
8	0.789957	750	-1.045764	-10.011666
9	0.768433	750	-1.050234	-11.061900
10	0.747266	750	-1.037893	-12.099793
11	0.726452	750	-1.099246	-13.199040
12	0.705989	750	-1.031200	-14.230239
13	0.685877	750	-1.036614	-15.266853
14	0.666112	750	-0.956127	-16.222980
15	0.646693	750	-0.900415	-17.123395
16	0.627618	750	-0.900335	-18.023730
17	0.608884	750	-0.900068	-18.923798
18	0.590490	750	-0.897126	-19.820924
19	0.572433	750	-0.869585	-20.690509
20	0.554712	750	-0.838547	-21.529056
21	0.537324	750	-0.834050	-22.363106
22	0.520268	750	-0.813980	-23.177086
23	0.503540	750	-0.894697	-24.071783
24	0.487139	750	-0.854001	-24.925784
25	0.471063	750	-0.810025	-25.735809
26	0.455310	750	-0.746481	-26.482290
27	0.439877	750	-0.716161	-27.198451
28	0.424762	750	-0.714915	-27.913367
29	0.409963	750	-0.727248	-28.640614
30	0.395478	750	-0.692469	-29.333084
31	0.381305	750	-0.698276	-30.031359
32	0.367440	750	-0.663554	-30.694914
33	0.353883	750	-0.694142	-31.389055
34	0.340630	750	-0.707449	-32.096504
35	0.327680	750	-0.685860	-32.782364
36	0.315030	750	-0.687559	-33.469924
37	0.302677	750	-0.663312	-34.133236
38	0.290619	750	-0.647776	-34.781011
39	0.278855	750	-0.678331	-35.459343
40	0.267381	750	-0.896334	-36.355676
41	0.256195	750	-0.586448	-36.942124
42	0.245294	750	-0.808401	-37.750525
43	0.234677	750	-0.782054	-38.532579
44	0.224340	750	-0.760615	-39.293194
45	0.214281	750	-0.771699	-40.064893
46	0.204498	750	-0.725186	-40.790079
47	0.194988	750	-0.699852	-41.489932
48	0.185749	750	-0.690489	-42.180421
49	0.176777	750	-0.672899	-42.853320
50	0.168070	750	-0.646564	-43.499884
51	0.159626	750	-0.635572	-44.135456
52	0.151441	750	-0.617881	-44.753337
53	0.143514	750	-0.607584	-45.360920
54	0.135841	750	-0.585742	-45.946662
55	0.128420	750	-0.552441	-46.499103
56	0.121247	750	-0.541005	-47.040108
57	0.114320	750	-0.528763	-47.568871
58	0.107637	750	-0.517060	-48.085931
59	0.101193	750	-0.496348	-48.582278
60	0.094986	750	-0.505286	-49.087564
61	0.089014	750	-0.462845	-49.550409
62	0.083273	750	-0.451344	-50.001754
63	0.077760	750	-0.427624	-50.429378
64	0.072472	750	-0.432543	-50.861921
65	0.067406	750	-0.402448	-51.264369
66	0.062558	750	-0.413478	-51.677847
67	0.057926	750	-0.371084	-52.048930
68	0.053506	750	-0.346416	-52.395346
69	0.049295	750	-0.332869	-52.728215
70	0.045289	750	-0.317443	-53.045659
71	0.041485	750	-0.306142	-53.351801
72	0.037880	750	-0.310818	-53.662619
73	0.034469	750	-0.255785	-53.918404
74	0.031250	750	-0.250565	-54.168968
75	0.028218	750	-0.228751	-54.397720
76	0.025370	750	-0.264448	-54.662168
77	0.022702	750	-0.221498	-54.883666
78	0.020209	750	-0.190979	-55.074645
79	0.017889	750	-0.188439	-55.263084
80	0.015736	750	-0.170895	-55.433979
81	0.013746	750	-0.171377	-55.605356
82	0.011916	750	-0.188344	-55.793700
83	0.010240	750	-0.145743	-55.939444
84	0.008714	750	-0.128466	-56.067909
85	0.007334	750	-0.125531	-56.193441
86	0.006093	750	-0.112837	-56.306278
87	0.004988	750	-0.139837	-56.446115
88	0.004013	750	-0.075084	-56.521199
89	0.003162	750	-0.071848	-56.593047
90	0.002430	750	-0.061221	-56.654269
91	0.001810	750	-0.104433	-56.758702
92	0.001296	750	-0.040157	-56.798859
93	0.000882	750	-0.034441	-56.833300
94	0.000559	750	-0.282134	-57.115434
95	0.000320	750	-0.301195	-57.416628
96	0.000156	750	-0.013439	-57.430068
97	0.000057	750	-0.008198	-57.438266
98	0.000010	750	-0.003964	-57.442230
99	0.000000	750	-0.001470	-57.443700
Log marginal likelihood:	-57.443700
