Steppingstone sampler:
        No Stones:                  100
        Start It:                   10010001
        It Per Stone:               1000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.975187	750	-0.969574	-0.969574
1	0.950747	750	-1.003231	-1.972806
2	0.926679	750	-0.989400	-2.962205
3	0.902980	750	-0.951349	-3.913555
4	0.879648	750	-0.884272	-4.797826
5	0.856682	750	-0.892992	-5.690818
6	0.834079	750	-0.864462	-6.555280
7	0.811838	750	-0.844405	-7.399685
8	0.789957	750	-0.913368	-8.313054
9	0.768433	750	-0.903415	-9.216468
10	0.747266	750	-0.861697	-10.078166
11	0.726452	750	-0.819606	-10.897772
12	0.705989	750	-0.882656	-11.780428
13	0.685877	750	-0.812242	-12.592669
14	0.666112	750	-0.763952	-13.356621
15	0.646693	750	-0.786200	-14.142821
16	0.627618	750	-0.782946	-14.925766
17	0.608884	750	-0.769723	-15.695490
18	0.590490	750	-0.791319	-16.486808
19	0.572433	750	-0.771529	-17.258338
20	0.554712	750	-0.729954	-17.988292
21	0.537324	750	-0.731881	-18.720173
22	0.520268	750	-0.795979	-19.516152
23	0.503540	750	-0.789911	-20.306063
24	0.487139	750	-0.715484	-21.021547
25	0.471063	750	-0.656599	-21.678146
26	0.455310	750	-0.605637	-22.283783
27	0.439877	750	-0.607057	-22.890840
28	0.424762	750	-0.627035	-23.517875
29	0.409963	750	-0.653352	-24.171227
30	0.395478	750	-0.577953	-24.749179
31	0.381305	750	-0.568216	-25.317395
32	0.367440	750	-0.615745	-25.933140
33	0.353883	750	-0.678738	-26.611878
34	0.340630	750	-0.647298	-27.259176
35	0.327680	750	-0.574245	-27.833421
36	0.315030	750	-0.578826	-28.412247
37	0.302677	750	-0.576010	-28.988256
38	0.290619	750	-0.555211	-29.543467
39	0.278855	750	-0.583779	-30.127246
40	0.267381	750	-0.495268	-30.622514
41	0.256195	750	-0.516055	-31.138569
42	0.245294	750	-0.553977	-31.692546
43	0.234677	750	-0.502997	-32.195542
44	0.224340	750	-0.434695	-32.630238
45	0.214281	750	-0.423240	-33.053478
46	0.204498	750	-0.412310	-33.465788
47	0.194988	750	-0.415066	-33.880854
48	0.185749	750	-0.432884	-34.313738
49	0.176777	750	-0.450143	-34.763881
50	0.168070	750	-0.407411	-35.171291
51	0.159626	750	-0.377744	-35.549036
52	0.151441	750	-0.389200	-35.938236
53	0.143514	750	-0.402584	-36.340820
54	0.135841	750	-0.583560	-36.924380
55	0.128420	750	-0.557741	-37.482121
56	0.121247	750	-0.531187	-38.013308
57	0.114320	750	-0.525999	-38.539308
58	0.107637	750	-0.485916	-39.025224
59	0.101193	750	-0.489685	-39.514909
60	0.094986	750	-0.462118	-39.977028
61	0.089014	750	-0.474448	-40.451475
62	0.083273	750	-0.473619	-40.925094
63	0.077760	750	-0.400153	-41.325247
64	0.072472	750	-0.442857	-41.768104
65	0.067406	750	-0.376864	-42.144969
66	0.062558	750	-0.370219	-42.515187
67	0.057926	750	-0.331861	-42.847049
68	0.053506	750	-0.324777	-43.171826
69	0.049295	750	-0.338392	-43.510218
70	0.045289	750	-0.304101	-43.814319
71	0.041485	750	-0.274641	-44.088960
72	0.037880	750	-0.319761	-44.408721
73	0.034469	750	-0.305637	-44.714358
74	0.031250	750	-0.250848	-44.965206
75	0.028218	750	-0.231622	-45.196828
76	0.025370	750	-0.303430	-45.500259
77	0.022702	750	-0.202308	-45.702566
78	0.020209	750	-0.195273	-45.897839
79	0.017889	750	-0.205744	-46.103583
80	0.015736	750	-0.212160	-46.315743
81	0.013746	750	-0.145992	-46.461735
82	0.011916	750	-0.129667	-46.591402
83	0.010240	750	-0.124220	-46.715622
84	0.008714	750	-0.182589	-46.898211
85	0.007334	750	-0.112497	-47.010708
86	0.006093	750	-0.134616	-47.145325
87	0.004988	750	-0.111806	-47.257131
88	0.004013	750	-0.073855	-47.330986
89	0.003162	750	-0.065721	-47.396707
90	0.002430	750	-0.056006	-47.452713
91	0.001810	750	-0.047279	-47.499992
92	0.001296	750	-0.046713	-47.546705
93	0.000882	750	-0.030853	-47.577558
94	0.000559	750	-0.126922	-47.704480
95	0.000320	750	-0.021950	-47.726430
96	0.000156	750	-0.018333	-47.744762
97	0.000057	750	-0.007237	-47.751999
98	0.000010	750	-0.004605	-47.756604
99	0.000000	750	-0.001299	-47.757903
Log marginal likelihood:	-47.757903
