Steppingstone sampler:
        No Stones:                  100
        Start It:                   10010001
        It Per Stone:               1000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.975187	750	-0.753434	-0.753434
1	0.950747	750	-0.782499	-1.535933
2	0.926679	750	-0.801386	-2.337318
3	0.902980	750	-0.766611	-3.103929
4	0.879648	750	-0.751233	-3.855162
5	0.856682	750	-0.789915	-4.645077
6	0.834079	750	-0.769069	-5.414146
7	0.811838	750	-0.768213	-6.182359
8	0.789957	750	-0.763719	-6.946079
9	0.768433	750	-0.836229	-7.782308
10	0.747266	750	-0.758116	-8.540423
11	0.726452	750	-0.717025	-9.257448
12	0.705989	750	-0.650332	-9.907780
13	0.685877	750	-0.657138	-10.564918
14	0.666112	750	-0.647881	-11.212799
15	0.646693	750	-0.682392	-11.895192
16	0.627618	750	-0.672573	-12.567764
17	0.608884	750	-0.683690	-13.251454
18	0.590490	750	-0.670268	-13.921722
19	0.572433	750	-0.670572	-14.592294
20	0.554712	750	-0.613813	-15.206107
21	0.537324	750	-0.636217	-15.842325
22	0.520268	750	-0.588336	-16.430661
23	0.503540	750	-0.568349	-16.999010
24	0.487139	750	-0.584535	-17.583545
25	0.471063	750	-0.608307	-18.191852
26	0.455310	750	-0.575568	-18.767420
27	0.439877	750	-0.550360	-19.317779
28	0.424762	750	-0.564730	-19.882509
29	0.409963	750	-0.552887	-20.435396
30	0.395478	750	-0.533269	-20.968664
31	0.381305	750	-0.508812	-21.477476
32	0.367440	750	-0.518990	-21.996467
33	0.353883	750	-0.498469	-22.494936
34	0.340630	750	-0.505692	-23.000628
35	0.327680	750	-0.511084	-23.511712
36	0.315030	750	-0.453131	-23.964843
37	0.302677	750	-0.461142	-24.425985
38	0.290619	750	-0.437651	-24.863637
39	0.278855	750	-0.436576	-25.300212
40	0.267381	750	-0.409697	-25.709909
41	0.256195	750	-0.410070	-26.119979
42	0.245294	750	-0.516506	-26.636486
43	0.234677	750	-0.661488	-27.297973
44	0.224340	750	-0.663744	-27.961717
45	0.214281	750	-0.636247	-28.597965
46	0.204498	750	-0.615474	-29.213439
47	0.194988	750	-0.587365	-29.800804
48	0.185749	750	-0.576520	-30.377324
49	0.176777	750	-0.551956	-30.929280
50	0.168070	750	-0.543500	-31.472780
51	0.159626	750	-0.549801	-32.022580
52	0.151441	750	-0.515198	-32.537778
53	0.143514	750	-0.515955	-33.053733
54	0.135841	750	-0.490714	-33.544447
55	0.128420	750	-0.495858	-34.040306
56	0.121247	750	-0.477049	-34.517355
57	0.114320	750	-0.437000	-34.954356
58	0.107637	750	-0.452944	-35.407300
59	0.101193	750	-0.428998	-35.836298
60	0.094986	750	-0.495058	-36.331356
61	0.089014	750	-0.465618	-36.796973
62	0.083273	750	-0.408612	-37.205585
63	0.077760	750	-0.365978	-37.571564
64	0.072472	750	-0.340276	-37.911839
65	0.067406	750	-0.316572	-38.228411
66	0.062558	750	-0.325381	-38.553792
67	0.057926	750	-0.327123	-38.880916
68	0.053506	750	-0.327974	-39.208889
69	0.049295	750	-0.291187	-39.500076
70	0.045289	750	-0.299155	-39.799231
71	0.041485	750	-0.289878	-40.089109
72	0.037880	750	-0.283089	-40.372198
73	0.034469	750	-0.220802	-40.593000
74	0.031250	750	-0.235778	-40.828778
75	0.028218	750	-0.244797	-41.073575
76	0.025370	750	-0.229244	-41.302819
77	0.022702	750	-0.213899	-41.516718
78	0.020209	750	-0.226258	-41.742976
79	0.017889	750	-0.155700	-41.898677
80	0.015736	750	-0.253080	-42.151757
81	0.013746	750	-0.142314	-42.294071
82	0.011916	750	-0.174384	-42.468455
83	0.010240	750	-0.138269	-42.606724
84	0.008714	750	-0.122785	-42.729509
85	0.007334	750	-0.123107	-42.852616
86	0.006093	750	-0.178109	-43.030726
87	0.004988	750	-0.109014	-43.139740
88	0.004013	750	-0.077633	-43.217373
89	0.003162	750	-0.065553	-43.282926
90	0.002430	750	-0.057794	-43.340719
91	0.001810	750	-0.049654	-43.390374
92	0.001296	750	-0.042646	-43.433020
93	0.000882	750	-0.411215	-43.844235
94	0.000559	750	-0.026230	-43.870465
95	0.000320	750	-0.148991	-44.019456
96	0.000156	750	-0.013628	-44.033083
97	0.000057	750	-0.030941	-44.064024
98	0.000010	750	-0.003254	-44.067279
99	0.000000	750	-0.000907	-44.068185
Log marginal likelihood:	-44.068185
