Steppingstone sampler:
        No Stones:                  100
        Start It:                   10010001
        It Per Stone:               1000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.975187	750	-1.038845	-1.038845
1	0.950747	750	-1.072911	-2.111756
2	0.926679	750	-1.057956	-3.169712
3	0.902980	750	-1.083490	-4.253202
4	0.879648	750	-1.111038	-5.364241
5	0.856682	750	-0.993515	-6.357756
6	0.834079	750	-0.962137	-7.319893
7	0.811838	750	-0.968946	-8.288839
8	0.789957	750	-0.929850	-9.218689
9	0.768433	750	-0.888019	-10.106709
10	0.747266	750	-0.871841	-10.978550
11	0.726452	750	-0.857337	-11.835887
12	0.705989	750	-0.855683	-12.691570
13	0.685877	750	-0.853511	-13.545082
14	0.666112	750	-0.819484	-14.364566
15	0.646693	750	-0.833671	-15.198237
16	0.627618	750	-0.776282	-15.974519
17	0.608884	750	-0.809950	-16.784469
18	0.590490	750	-0.750776	-17.535245
19	0.572433	750	-0.736582	-18.271827
20	0.554712	750	-0.721751	-18.993578
21	0.537324	750	-0.731696	-19.725275
22	0.520268	750	-0.749843	-20.475117
23	0.503540	750	-0.734422	-21.209539
24	0.487139	750	-0.719177	-21.928716
25	0.471063	750	-0.739889	-22.668605
26	0.455310	750	-0.733944	-23.402550
27	0.439877	750	-0.741261	-24.143811
28	0.424762	750	-0.705613	-24.849424
29	0.409963	750	-0.695894	-25.545318
30	0.395478	750	-0.666051	-26.211369
31	0.381305	750	-0.626906	-26.838274
32	0.367440	750	-0.604173	-27.442447
33	0.353883	750	-0.585764	-28.028211
34	0.340630	750	-0.570627	-28.598838
35	0.327680	750	-0.593917	-29.192755
36	0.315030	750	-0.575817	-29.768572
37	0.302677	750	-0.569958	-30.338530
38	0.290619	750	-0.541407	-30.879938
39	0.278855	750	-0.492162	-31.372100
40	0.267381	750	-0.496129	-31.868229
41	0.256195	750	-0.484526	-32.352755
42	0.245294	750	-0.463280	-32.816035
43	0.234677	750	-0.501241	-33.317275
44	0.224340	750	-0.483380	-33.800655
45	0.214281	750	-0.429650	-34.230305
46	0.204498	750	-0.399449	-34.629755
47	0.194988	750	-0.405982	-35.035737
48	0.185749	750	-0.413104	-35.448840
49	0.176777	750	-0.407476	-35.856316
50	0.168070	750	-0.407472	-36.263788
51	0.159626	750	-0.436110	-36.699898
52	0.151441	750	-0.388016	-37.087914
53	0.143514	750	-0.331242	-37.419156
54	0.135841	750	-0.688689	-38.107845
55	0.128420	750	-0.648883	-38.756728
56	0.121247	750	-0.612615	-39.369343
57	0.114320	750	-0.636057	-40.005400
58	0.107637	750	-0.578471	-40.583871
59	0.101193	750	-0.623795	-41.207666
60	0.094986	750	-0.524103	-41.731769
61	0.089014	750	-0.519849	-42.251618
62	0.083273	750	-0.494576	-42.746193
63	0.077760	750	-0.480619	-43.226813
64	0.072472	750	-0.453096	-43.679909
65	0.067406	750	-0.440523	-44.120432
66	0.062558	750	-0.414841	-44.535273
67	0.057926	750	-0.412264	-44.947536
68	0.053506	750	-0.389178	-45.336714
69	0.049295	750	-0.365830	-45.702545
70	0.045289	750	-0.344350	-46.046895
71	0.041485	750	-0.338134	-46.385028
72	0.037880	750	-0.313630	-46.698658
73	0.034469	750	-0.296326	-46.994984
74	0.031250	750	-0.271319	-47.266304
75	0.028218	750	-0.260198	-47.526502
76	0.025370	750	-0.248606	-47.775108
77	0.022702	750	-0.229357	-48.004464
78	0.020209	750	-0.214182	-48.218646
79	0.017889	750	-0.197609	-48.416255
80	0.015736	750	-0.192920	-48.609175
81	0.013746	750	-0.204174	-48.813349
82	0.011916	750	-0.178839	-48.992189
83	0.010240	750	-0.240129	-49.232317
84	0.008714	750	-0.164662	-49.396980
85	0.007334	750	-0.165739	-49.562719
86	0.006093	750	-0.163829	-49.726548
87	0.004988	750	-0.113743	-49.840291
88	0.004013	750	-0.106404	-49.946695
89	0.003162	750	-0.075904	-50.022599
90	0.002430	750	-0.069704	-50.092303
91	0.001810	750	-0.066066	-50.158369
92	0.001296	750	-0.062106	-50.220475
93	0.000882	750	-0.044446	-50.264921
94	0.000559	750	-0.031527	-50.296448
95	0.000320	750	-0.022808	-50.319256
96	0.000156	750	-0.016993	-50.336249
97	0.000057	750	-0.011059	-50.347308
98	0.000010	750	-0.035953	-50.383261
99	0.000000	750	-0.000873	-50.384133
Log marginal likelihood:	-50.384133
