Steppingstone sampler:
        No Stones:                  100
        Start It:                   10010001
        It Per Stone:               1000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.975187	750	-1.435862	-1.435862
1	0.950747	750	-1.423792	-2.859654
2	0.926679	750	-1.379890	-4.239544
3	0.902980	750	-1.337568	-5.577112
4	0.879648	750	-1.313027	-6.890139
5	0.856682	750	-1.393613	-8.283752
6	0.834079	750	-1.373908	-9.657660
7	0.811838	750	-1.399774	-11.057434
8	0.789957	750	-1.450281	-12.507715
9	0.768433	750	-1.340487	-13.848201
10	0.747266	750	-1.293855	-15.142056
11	0.726452	750	-1.263189	-16.405245
12	0.705989	750	-1.226596	-17.631841
13	0.685877	750	-1.245992	-18.877834
14	0.666112	750	-1.166440	-20.044273
15	0.646693	750	-1.134431	-21.178705
16	0.627618	750	-1.154348	-22.333053
17	0.608884	750	-1.138606	-23.471659
18	0.590490	750	-1.169917	-24.641576
19	0.572433	750	-1.085829	-25.727405
20	0.554712	750	-1.038513	-26.765918
21	0.537324	750	-1.011623	-27.777541
22	0.520268	750	-0.993447	-28.770987
23	0.503540	750	-1.028811	-29.799798
24	0.487139	750	-1.022431	-30.822229
25	0.471063	750	-1.000796	-31.823024
26	0.455310	750	-0.961000	-32.784024
27	0.439877	750	-0.924128	-33.708152
28	0.424762	750	-0.905546	-34.613698
29	0.409963	750	-0.910088	-35.523786
30	0.395478	750	-0.925863	-36.449648
31	0.381305	750	-0.878828	-37.328476
32	0.367440	750	-0.915359	-38.243836
33	0.353883	750	-1.027493	-39.271328
34	0.340630	750	-1.051939	-40.323267
35	0.327680	750	-1.055682	-41.378949
36	0.315030	750	-1.083969	-42.462918
37	0.302677	750	-1.009211	-43.472129
38	0.290619	750	-0.958326	-44.430455
39	0.278855	750	-0.951132	-45.381587
40	0.267381	750	-0.941643	-46.323229
41	0.256195	750	-1.007585	-47.330815
42	0.245294	750	-0.923684	-48.254499
43	0.234677	750	-0.839086	-49.093585
44	0.224340	750	-0.843831	-49.937416
45	0.214281	750	-0.818242	-50.755659
46	0.204498	750	-0.799785	-51.555444
47	0.194988	750	-0.771387	-52.326831
48	0.185749	750	-0.768951	-53.095781
49	0.176777	750	-0.755966	-53.851748
50	0.168070	750	-0.714378	-54.566126
51	0.159626	750	-0.668262	-55.234388
52	0.151441	750	-0.651802	-55.886190
53	0.143514	750	-0.660997	-56.547188
54	0.135841	750	-0.646869	-57.194057
55	0.128420	750	-0.606333	-57.800390
56	0.121247	750	-0.592741	-58.393131
57	0.114320	750	-0.575598	-58.968729
58	0.107637	750	-0.663326	-59.632055
59	0.101193	750	-0.527661	-60.159716
60	0.094986	750	-0.503818	-60.663534
61	0.089014	750	-0.495050	-61.158584
62	0.083273	750	-0.473184	-61.631768
63	0.077760	750	-0.447176	-62.078943
64	0.072472	750	-0.463935	-62.542878
65	0.067406	750	-0.402112	-62.944990
66	0.062558	750	-0.386268	-63.331257
67	0.057926	750	-0.379697	-63.710954
68	0.053506	750	-0.412990	-64.123944
69	0.049295	750	-0.397034	-64.520978
70	0.045289	750	-0.389368	-64.910346
71	0.041485	750	-0.357031	-65.267377
72	0.037880	750	-0.348811	-65.616187
73	0.034469	750	-0.272651	-65.888839
74	0.031250	750	-0.255936	-66.144775
75	0.028218	750	-0.246718	-66.391493
76	0.025370	750	-0.229215	-66.620708
77	0.022702	750	-0.233710	-66.854417
78	0.020209	750	-0.201263	-67.055680
79	0.017889	750	-0.210305	-67.265985
80	0.015736	750	-0.196667	-67.462652
81	0.013746	750	-0.187041	-67.649693
82	0.011916	750	-0.171844	-67.821537
83	0.010240	750	-0.155145	-67.976682
84	0.008714	750	-0.144029	-68.120711
85	0.007334	750	-0.131682	-68.252394
86	0.006093	750	-0.109859	-68.362252
87	0.004988	750	-0.097856	-68.460108
88	0.004013	750	-0.091299	-68.551407
89	0.003162	750	-0.072523	-68.623930
90	0.002430	750	-0.059291	-68.683221
91	0.001810	750	-0.060179	-68.743399
92	0.001296	750	-0.055280	-68.798679
93	0.000882	750	-0.061391	-68.860071
94	0.000559	750	-0.028578	-68.888649
95	0.000320	750	-0.019721	-68.908370
96	0.000156	750	-0.014669	-68.923038
97	0.000057	750	-0.055644	-68.978682
98	0.000010	750	-0.004815	-68.983497
99	0.000000	750	-0.000931	-68.984428
Log marginal likelihood:	-68.984428
