Steppingstone sampler:
        No Stones:                  100
        Start It:                   10010001
        It Per Stone:               1000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.975187	750	-1.325041	-1.325041
1	0.950747	750	-1.304917	-2.629958
2	0.926679	750	-1.281300	-3.911259
3	0.902980	750	-1.252355	-5.163613
4	0.879648	750	-1.239695	-6.403308
5	0.856682	750	-1.231748	-7.635057
6	0.834079	750	-1.220316	-8.855373
7	0.811838	750	-1.198619	-10.053991
8	0.789957	750	-1.200627	-11.254619
9	0.768433	750	-1.166338	-12.420957
10	0.747266	750	-1.103556	-13.524512
11	0.726452	750	-1.084120	-14.608633
12	0.705989	750	-1.088691	-15.697323
13	0.685877	750	-1.041783	-16.739107
14	0.666112	750	-1.076258	-17.815365
15	0.646693	750	-1.074672	-18.890037
16	0.627618	750	-1.066127	-19.956164
17	0.608884	750	-1.108071	-21.064236
18	0.590490	750	-1.266265	-22.330501
19	0.572433	750	-1.176953	-23.507453
20	0.554712	750	-1.200937	-24.708390
21	0.537324	750	-1.201263	-25.909653
22	0.520268	750	-1.174710	-27.084362
23	0.503540	750	-1.136390	-28.220752
24	0.487139	750	-1.111308	-29.332060
25	0.471063	750	-1.092409	-30.424469
26	0.455310	750	-1.085017	-31.509486
27	0.439877	750	-1.074147	-32.583633
28	0.424762	750	-1.062319	-33.645952
29	0.409963	750	-1.027894	-34.673845
30	0.395478	750	-1.020164	-35.694009
31	0.381305	750	-1.001083	-36.695092
32	0.367440	750	-0.959754	-37.654846
33	0.353883	750	-0.932445	-38.587290
34	0.340630	750	-0.911727	-39.499017
35	0.327680	750	-0.886961	-40.385978
36	0.315030	750	-0.808710	-41.194688
37	0.302677	750	-0.830984	-42.025672
38	0.290619	750	-0.816889	-42.842561
39	0.278855	750	-0.811799	-43.654360
40	0.267381	750	-0.804596	-44.458956
41	0.256195	750	-0.776613	-45.235569
42	0.245294	750	-0.750159	-45.985729
43	0.234677	750	-0.735108	-46.720836
44	0.224340	750	-0.700622	-47.421458
45	0.214281	750	-0.680537	-48.101995
46	0.204498	750	-0.627105	-48.729100
47	0.194988	750	-0.674240	-49.403340
48	0.185749	750	-0.589050	-49.992390
49	0.176777	750	-0.625690	-50.618080
50	0.168070	750	-0.619794	-51.237874
51	0.159626	750	-0.632077	-51.869951
52	0.151441	750	-0.631030	-52.500981
53	0.143514	750	-0.607961	-53.108942
54	0.135841	750	-0.550676	-53.659619
55	0.128420	750	-0.513380	-54.172999
56	0.121247	750	-0.506092	-54.679090
57	0.114320	750	-0.496088	-55.175178
58	0.107637	750	-0.460568	-55.635746
59	0.101193	750	-0.438875	-56.074621
60	0.094986	750	-0.434301	-56.508922
61	0.089014	750	-0.417033	-56.925954
62	0.083273	750	-0.424602	-57.350557
63	0.077760	750	-0.412070	-57.762627
64	0.072472	750	-0.386409	-58.149036
65	0.067406	750	-0.375668	-58.524704
66	0.062558	750	-0.339453	-58.864157
67	0.057926	750	-0.310847	-59.175004
68	0.053506	750	-0.297208	-59.472211
69	0.049295	750	-0.291914	-59.764125
70	0.045289	750	-0.276935	-60.041060
71	0.041485	750	-0.277399	-60.318459
72	0.037880	750	-0.254778	-60.573237
73	0.034469	750	-0.261295	-60.834531
74	0.031250	750	-0.228350	-61.062881
75	0.028218	750	-0.225736	-61.288617
76	0.025370	750	-0.296516	-61.585133
77	0.022702	750	-0.202831	-61.787964
78	0.020209	750	-0.182442	-61.970406
79	0.017889	750	-0.158090	-62.128495
80	0.015736	750	-0.149141	-62.277636
81	0.013746	750	-0.147843	-62.425480
82	0.011916	750	-0.126523	-62.552003
83	0.010240	750	-0.113406	-62.665408
84	0.008714	750	-0.106213	-62.771621
85	0.007334	750	-0.098466	-62.870088
86	0.006093	750	-0.088304	-62.958391
87	0.004988	750	-0.078213	-63.036604
88	0.004013	750	-0.069264	-63.105869
89	0.003162	750	-0.059410	-63.165278
90	0.002430	750	-0.050460	-63.215738
91	0.001810	750	-0.042468	-63.258206
92	0.001296	750	-0.036076	-63.294281
93	0.000882	750	-0.028881	-63.323162
94	0.000559	750	-0.022649	-63.345811
95	0.000320	750	-0.017254	-63.363066
96	0.000156	750	-0.011607	-63.374673
97	0.000057	750	-0.006927	-63.381600
98	0.000010	750	-0.009592	-63.391192
99	0.000000	750	-0.000802	-63.391993
Log marginal likelihood:	-63.391993
